Car_id,Company,Model
C_CND_000147,Oldsmobile,Silhouette
C_CND_000148,Saab,5-Sep
C_CND_000149,Honda,Civic
C_CND_000150,BMW,528i
C_CND_000151,Oldsmobile,Silhouette
C_CND_000152,Lexus,LS400
C_CND_000153,Cadillac,Eldorado
C_CND_000154,Volkswagen,Jetta
C_CND_000155,Pontiac,Bonneville
C_CND_000156,Chevrolet,Monte Carlo
C_CND_000157,Oldsmobile,Aurora
C_CND_000158,Ford,Mustang
C_CND_000159,Mitsubishi,Diamante
C_CND_000160,Ford,Expedition
C_CND_000161,Mercedes-B,M-Class
C_CND_000162,Ford,Focus
C_CND_000163,Volkswagen,Jetta
C_CND_000164,BMW,528i
C_CND_000165,Subaru,Forester
C_CND_000166,Plymouth,Breeze
C_CND_000167,Volkswagen,Beetle
C_CND_000168,Dodge,Intrepid
C_CND_000169,Hyundai,Elantra
C_CND_000170,Saturn,SW
C_CND_000171,Lincoln,Continental
C_CND_000172,Chevrolet,Camaro
C_CND_000173,Nissan,Pathfinder
C_CND_000174,Toyota,RAV4
C_CND_000175,Mercury,Villager
C_CND_000176,Jaguar,S-Type
C_CND_000177,Mercedes-B,SLK
C_CND_000178,Volkswagen,Jetta
C_CND_000179,Buick,Regal
C_CND_000180,Mercedes-B,C-Class
C_CND_000181,Toyota,Sienna
C_CND_000182,Volvo,S70
C_CND_000183,Nissan,Altima
C_CND_000184,Toyota,Celica
C_CND_000185,Saturn,LS
C_CND_000186,Mitsubishi,Diamante
C_CND_000187,Lexus,GS400
C_CND_000188,Porsche,Carrera Cabrio
C_CND_000189,Dodge,Ram Van
C_CND_000190,Oldsmobile,Silhouette
C_CND_000191,Audi,A6
C_CND_000192,Oldsmobile,Cutlass
C_CND_000193,Mercedes-B,S-Class
C_CND_000194,Mitsubishi,3000GT
C_CND_000195,BMW,528i
C_CND_000196,Chevrolet,Malibu
C_CND_000197,Chrysler,300M
C_CND_000198,Ford,Mustang
C_CND_000199,Dodge,Viper
C_CND_000200,Jaguar,S-Type
C_CND_000201,Mercedes-B,SLK
C_CND_000202,Mercedes-B,E-Class
C_CND_000203,Pontiac,Grand Am
C_CND_000204,Saturn,LW
C_CND_000205,Saturn,SC
C_CND_000206,Mercury,Sable
C_CND_000207,Toyota,Land Cruiser
C_CND_000208,Nissan,Maxima
C_CND_000209,Oldsmobile,Bravada
C_CND_000210,Volkswagen,Passat
C_CND_000211,Volkswagen,Passat
C_CND_000212,Nissan,Xterra
C_CND_000213,Ford,Mustang
C_CND_000214,Volkswagen,Passat
C_CND_000215,Volvo,S40
C_CND_000216,Mercury,Villager
C_CND_000217,Nissan,Frontier
C_CND_000218,Acura,RL
C_CND_000219,Mitsubishi,Montero Sport
C_CND_000220,BMW,528i
C_CND_000221,BMW,528i
C_CND_000222,Ford,Crown Victoria
C_CND_000223,Nissan,Frontier
C_CND_000224,Honda,Accord
C_CND_000225,Toyota,Camry
C_CND_000226,Cadillac,Eldorado
C_CND_000227,Lexus,ES300
C_CND_000228,Volvo,S40
C_CND_000229,Lincoln,Navigator
C_CND_000230,Nissan,Frontier
C_CND_000231,Chevrolet,Prizm
C_CND_000232,Toyota,Tacoma
C_CND_000233,Nissan,Sentra
C_CND_000234,Ford,Crown Victoria
C_CND_000235,Pontiac,Bonneville
C_CND_000236,Mercedes-B,CL500
C_CND_000237,Dodge,Viper
C_CND_000238,Mitsubishi,Galant
C_CND_000239,Pontiac,Bonneville
C_CND_000240,Toyota,Tacoma
C_CND_000241,Cadillac,Escalade
C_CND_000242,Oldsmobile,Silhouette
C_CND_000243,Chevrolet,Prizm
C_CND_000244,Cadillac,Eldorado
C_CND_000245,Ford,Contour
C_CND_000246,Mercedes-B,S-Class
C_CND_000247,Toyota,Tacoma
C_CND_000248,Mercedes-B,C-Class
C_CND_000249,Nissan,Quest
C_CND_000250,Volkswagen,Golf
C_CND_000251,Hyundai,Sonata
C_CND_000252,Nissan,Altima
C_CND_000253,Ford,Ranger
C_CND_000254,Chevrolet,Corvette
C_CND_000255,Oldsmobile,Silhouette
C_CND_000256,Chevrolet,Prizm
C_CND_000257,Volvo,S40
C_CND_000258,Chevrolet,Corvette
C_CND_000259,Toyota,Corolla
C_CND_000260,Toyota,RAV4
C_CND_000261,Mercury,Grand Marquis
C_CND_000262,Chevrolet,Cavalier
C_CND_000263,Nissan,Maxima
C_CND_000264,Volvo,S70
C_CND_000265,Subaru,Outback
C_CND_000266,Chevrolet,Corvette
C_CND_000267,Acura,RL
C_CND_000268,Honda,Odyssey
C_CND_000269,Toyota,RAV4
C_CND_000270,Toyota,Tacoma
C_CND_000271,Plymouth,Prowler
C_CND_000272,Toyota,Camry
C_CND_000273,Volkswagen,Passat
C_CND_000274,Volkswagen,Cabrio
C_CND_000275,Chrysler,Sebring Coupe
C_CND_000276,Ford,Windstar
C_CND_000277,Dodge,Durango
C_CND_000278,Lincoln,Continental
C_CND_000279,Mitsubishi,Diamante
C_CND_000280,Toyota,Celica
C_CND_000281,Volkswagen,Jetta
C_CND_000282,Volkswagen,GTI
C_CND_000283,Buick,Park Avenue
C_CND_000284,Volkswagen,Jetta
C_CND_000285,Oldsmobile,Silhouette
C_CND_000286,Honda,Accord
C_CND_000287,BMW,328i
C_CND_000288,Pontiac,Bonneville
C_CND_000289,Volkswagen,Passat
C_CND_000290,Hyundai,Sonata
C_CND_000291,Volkswagen,Passat
C_CND_000292,Ford,Crown Victoria
C_CND_000293,Mercedes-B,C-Class
C_CND_000294,Honda,Passport
C_CND_000295,Honda,Odyssey
C_CND_000296,Mercury,Cougar
C_CND_000297,Honda,Passport
C_CND_000298,Toyota,Celica
C_CND_000299,Chevrolet,Camaro
C_CND_000300,Ford,Taurus
C_CND_000301,Ford,Focus
C_CND_000302,Porsche,Boxter
C_CND_000303,Oldsmobile,Intrigue
C_CND_000304,Lexus,LX470
C_CND_000305,Chrysler,Sebring Coupe
C_CND_000306,Dodge,Stratus
C_CND_000307,Dodge,Viper
C_CND_000308,Nissan,Pathfinder
C_CND_000309,Toyota,Corolla
C_CND_000310,Nissan,Quest
C_CND_000311,Dodge,Stratus
C_CND_000312,Toyota,Camry
C_CND_000313,Oldsmobile,Aurora
C_CND_000314,Mitsubishi,Montero Sport
C_CND_000315,Mercury,Cougar
C_CND_000316,Lincoln,Navigator
C_CND_000317,Acura,RL
C_CND_000318,Honda,Accord
C_CND_000319,Mitsubishi,Montero Sport
C_CND_000320,Mercedes-B,M-Class
C_CND_000321,Nissan,Pathfinder
C_CND_000322,Chevrolet,Metro
C_CND_000323,Dodge,Dakota
C_CND_000324,Hyundai,Sonata
C_CND_000325,Ford,Taurus
C_CND_000326,Toyota,RAV4
C_CND_000327,Porsche,Boxter
C_CND_000328,Honda,CR-V
C_CND_000329,Toyota,Corolla
C_CND_000330,Nissan,Pathfinder
C_CND_000331,Volkswagen,Beetle
C_CND_000332,Plymouth,Prowler
C_CND_000333,Saturn,LW
C_CND_000334,Mercury,Villager
C_CND_000335,Chevrolet,Metro
C_CND_000336,Saab,5-Sep
C_CND_000337,Mercedes-B,SLK230
C_CND_000338,Nissan,Xterra
C_CND_000339,Ford,Crown Victoria
C_CND_000340,Chevrolet,Lumina
C_CND_000341,Ford,Ranger
C_CND_000342,Audi,A6
C_CND_000343,Cadillac,Eldorado
C_CND_000344,Pontiac,Sunfire
C_CND_000345,Buick,Regal
C_CND_000346,Toyota,Tacoma
C_CND_000347,Infiniti,I30
C_CND_000348,Ford,Windstar
C_CND_000349,Dodge,Avenger
C_CND_000350,Saturn,LS
C_CND_000351,Dodge,Durango
C_CND_000352,Dodge,Ram Pickup
C_CND_000353,Acura,TL
C_CND_000354,Volvo,S70
C_CND_000355,Nissan,Pathfinder
C_CND_000356,Volkswagen,Passat
C_CND_000357,BMW,528i
C_CND_000358,Mitsubishi,Diamante
C_CND_000359,Toyota,RAV4
C_CND_000360,Dodge,Caravan
C_CND_000361,BMW,323i
C_CND_000362,Mitsubishi,3000GT
C_CND_000363,Dodge,Ram Wagon
C_CND_000364,Volkswagen,GTI
C_CND_000365,Plymouth,Neon
C_CND_000366,Jeep,Wrangler
C_CND_000367,Plymouth,Neon
C_CND_000368,Lexus,LS400
C_CND_000369,Plymouth,Voyager
C_CND_000370,Plymouth,Prowler
C_CND_000371,Saturn,SC
C_CND_000372,Mitsubishi,Diamante
C_CND_000373,Lexus,LS400
C_CND_000374,Mercedes-B,CL500
C_CND_000375,Lexus,GS400
C_CND_000376,Dodge,Caravan
C_CND_000377,Mitsubishi,Diamante
C_CND_000378,Pontiac,Bonneville
C_CND_000379,Mitsubishi,Diamante
C_CND_000380,Nissan,Frontier
C_CND_000381,Mitsubishi,Montero Sport
C_CND_000382,Audi,A6
C_CND_000383,Dodge,Caravan
C_CND_000384,Acura,RL
C_CND_000385,Dodge,Ram Pickup
C_CND_000386,Buick,Regal
C_CND_000387,Oldsmobile,Intrigue
C_CND_000388,Mercedes-B,SLK
C_CND_000389,Buick,Park Avenue
C_CND_000390,Lexus,LS400
C_CND_000391,Acura,Integra
C_CND_000392,Ford,Mustang
C_CND_000393,Ford,Ranger
C_CND_000394,Chevrolet,Cavalier
C_CND_000395,Mercedes-B,SLK
C_CND_000396,Chevrolet,Lumina
C_CND_000397,Acura,RL
C_CND_000398,Chrysler,LHS
C_CND_000399,Toyota,Sienna
C_CND_000400,Jeep,Wrangler
C_CND_000401,Mitsubishi,Montero Sport
C_CND_000402,Mercedes-B,C-Class
C_CND_000403,Cadillac,Eldorado
C_CND_000404,Porsche,Boxter
C_CND_000405,Dodge,Avenger
C_CND_000406,Mitsubishi,Diamante
C_CND_000407,Volvo,C70
C_CND_000408,Honda,Accord
C_CND_000409,Toyota,Camry
C_CND_000410,Pontiac,Grand Prix
C_CND_000411,Jeep,Grand Cherokee
C_CND_000412,Toyota,Celica
C_CND_000413,Lincoln,Continental
C_CND_000414,Nissan,Xterra
C_CND_000415,Mercedes-B,SL-Class
C_CND_000416,Ford,F-Series
C_CND_000417,Porsche,Boxter
C_CND_000418,Mercedes-B,SLK
C_CND_000419,Mercury,Sable
C_CND_000420,Acura,TL
C_CND_000421,Pontiac,Grand Prix
C_CND_000422,Mercury,Villager
C_CND_000423,Oldsmobile,Silhouette
C_CND_000424,Mercury,Cougar
C_CND_000425,BMW,323i
C_CND_000426,Plymouth,Neon
C_CND_000427,Mitsubishi,Diamante
C_CND_000428,Toyota,4Runner
C_CND_000429,Mercedes-B,S-Class
C_CND_000430,Mitsubishi,3000GT
C_CND_000431,Acura,RL
C_CND_000432,Audi,A8
C_CND_000433,Cadillac,Eldorado
C_CND_000434,Mercedes-B,SLK
C_CND_000435,Ford,F-Series
C_CND_000436,Jeep,Grand Cherokee
C_CND_000437,Honda,Accord
C_CND_000438,BMW,328i
C_CND_000439,Volkswagen,Cabrio
C_CND_000440,Pontiac,Sunfire
C_CND_000441,Volvo,C70
C_CND_000442,Mercedes-B,S-Class
C_CND_000443,Mitsubishi,Montero Sport
C_CND_000444,Oldsmobile,Intrigue
C_CND_000445,Dodge,Dakota
C_CND_000446,Acura,TL
C_CND_000447,Volkswagen,GTI
C_CND_000448,Chrysler,300M
C_CND_000449,Oldsmobile,Silhouette
C_CND_000450,Infiniti,I30
C_CND_000451,Lexus,GS400
C_CND_000452,Jeep,Grand Cherokee
C_CND_000453,Mercedes-B,CL500
C_CND_000454,Volkswagen,Jetta
C_CND_000455,Chrysler,300M
C_CND_000456,Mercury,Mystique
C_CND_000457,Lexus,GS400
C_CND_000458,Nissan,Altima
C_CND_000459,Ford,Contour
C_CND_000460,Mitsubishi,Galant
C_CND_000461,Ford,Crown Victoria
C_CND_000462,Nissan,Frontier
C_CND_000463,Mitsubishi,Eclipse
C_CND_000464,Acura,RL
C_CND_000465,Plymouth,Neon
C_CND_000466,Chevrolet,Monte Carlo
C_CND_000467,Lincoln,Navigator
C_CND_000468,Mitsubishi,Montero Sport
C_CND_000469,Oldsmobile,Intrigue
C_CND_000470,Pontiac,Bonneville
C_CND_000471,Ford,Windstar
C_CND_000472,Volkswagen,GTI
C_CND_000473,Plymouth,Prowler
C_CND_000474,Chrysler,Concorde
C_CND_000475,Mercedes-B,SLK230
C_CND_000476,Ford,Expedition
C_CND_000477,Dodge,Durango
C_CND_000478,Cadillac,Eldorado
C_CND_000479,Subaru,Outback
C_CND_000480,Subaru,Forester
C_CND_000481,Volvo,S80
C_CND_000482,Oldsmobile,Intrigue
C_CND_000483,Volkswagen,GTI
C_CND_000484,Chevrolet,Monte Carlo
C_CND_000485,Mercedes-B,S-Class
C_CND_000486,Ford,Expedition
C_CND_000487,Subaru,Forester
C_CND_000488,Saab,3-Sep
C_CND_000489,Saturn,SC
C_CND_000490,Saturn,LW
C_CND_000491,Dodge,Durango
C_CND_000492,Mitsubishi,3000GT
C_CND_000493,Chevrolet,Monte Carlo
C_CND_000494,Mercury,Mountaineer
C_CND_000495,Saturn,SC
C_CND_000496,Mercedes-B,S-Class
C_CND_000497,BMW,323i
C_CND_000498,Mercury,Grand Marquis
C_CND_000499,BMW,528i
C_CND_000500,Mitsubishi,Galant
C_CND_000501,BMW,528i
C_CND_000502,Jeep,Cherokee
C_CND_000503,Volkswagen,Passat
C_CND_000504,Porsche,Carrera Coupe
C_CND_000505,Chrysler,300M
C_CND_000506,Dodge,Ram Pickup
C_CND_000507,Mercedes-B,C-Class
C_CND_000508,Mercury,Sable
C_CND_000509,Oldsmobile,Silhouette
C_CND_000510,Toyota,Celica
C_CND_000511,Acura,TL
C_CND_000512,Mitsubishi,Diamante
C_CND_000513,Toyota,Corolla
C_CND_000514,Volvo,S40
C_CND_000515,Audi,A4
C_CND_000516,Buick,Park Avenue
C_CND_000517,Chrysler,Concorde
C_CND_000518,Cadillac,Catera
C_CND_000519,Infiniti,I30
C_CND_000520,Mercury,Grand Marquis
C_CND_000521,BMW,528i
C_CND_000522,Volvo,S80
C_CND_000523,BMW,323i
C_CND_000524,Plymouth,Voyager
C_CND_000525,Volvo,V70
C_CND_000526,Dodge,Durango
C_CND_000527,Lexus,GS400
C_CND_000528,BMW,528i
C_CND_000529,Oldsmobile,Cutlass
C_CND_000530,Plymouth,Voyager
C_CND_000531,Pontiac,Grand Prix
C_CND_000532,Porsche,Carrera Coupe
C_CND_000533,Lexus,GS400
C_CND_000534,Toyota,Corolla
C_CND_000535,Saturn,SW
C_CND_000536,Volvo,C70
C_CND_000537,Plymouth,Breeze
C_CND_000538,Chrysler,Sebring Coupe
C_CND_000539,Nissan,Pathfinder
C_CND_000540,Chrysler,LHS
C_CND_000541,Chevrolet,Camaro
C_CND_000542,Cadillac,Escalade
C_CND_000543,Volkswagen,Passat
C_CND_000544,Toyota,Celica
C_CND_000545,Porsche,Carrera Coupe
C_CND_000546,Dodge,Ram Van
C_CND_000547,Volkswagen,Passat
C_CND_000548,Ford,Expedition
C_CND_000549,Dodge,Durango
C_CND_000550,Cadillac,DeVille
C_CND_000551,Jaguar,S-Type
C_CND_000552,Nissan,Pathfinder
C_CND_000553,Mitsubishi,Diamante
C_CND_000554,Lexus,LS400
C_CND_000555,Chevrolet,Monte Carlo
C_CND_000556,Hyundai,Sonata
C_CND_000557,Mercedes-B,SL-Class
C_CND_000558,Jaguar,S-Type
C_CND_000559,Cadillac,DeVille
C_CND_000560,Mitsubishi,Diamante
C_CND_000561,Chevrolet,Corvette
C_CND_000562,Ford,Contour
C_CND_000563,Volkswagen,Jetta
C_CND_000564,BMW,328i
C_CND_000565,Toyota,Tacoma
C_CND_000566,Lincoln,Continental
C_CND_000567,Ford,Focus
C_CND_000568,Lincoln,Navigator
C_CND_000569,Chrysler,Sebring Coupe
C_CND_000570,Cadillac,Seville
C_CND_000571,Dodge,Caravan
C_CND_000572,Infiniti,I30
C_CND_000573,Volvo,S70
C_CND_000574,Ford,Mustang
C_CND_000575,Chevrolet,Metro
C_CND_000576,Pontiac,Bonneville
C_CND_000577,Dodge,Durango
C_CND_000578,Saturn,SC
C_CND_000579,BMW,328i
C_CND_000580,Acura,Integra
C_CND_000581,Toyota,Camry
C_CND_000582,Lexus,LS400
C_CND_000583,Chevrolet,Prizm
C_CND_000584,Chevrolet,Corvette
C_CND_000585,Mitsubishi,Montero Sport
C_CND_000586,Volkswagen,Cabrio
C_CND_000587,Subaru,Outback
C_CND_000588,Buick,Park Avenue
C_CND_000589,Chrysler,Concorde
C_CND_000590,Dodge,Intrepid
C_CND_000591,Chevrolet,Lumina
C_CND_000592,Mercedes-B,CLK Coupe
C_CND_000593,Pontiac,Grand Am
C_CND_000594,Buick,LeSabre
C_CND_000595,Dodge,Ram Pickup
C_CND_000596,Lincoln,Town car
C_CND_000597,Ford,Taurus
C_CND_000598,Chevrolet,Cavalier
C_CND_000599,Plymouth,Breeze
C_CND_000600,Chevrolet,Cavalier
C_CND_000601,Oldsmobile,Silhouette
C_CND_000602,Ford,Explorer
C_CND_000603,Ford,Windstar
C_CND_000604,Pontiac,Grand Am
C_CND_000605,Chrysler,Sebring Coupe
C_CND_000606,Saab,5-Sep
C_CND_000607,Acura,RL
C_CND_000608,Chrysler,LHS
C_CND_000609,BMW,323i
C_CND_000610,Dodge,Stratus
C_CND_000611,Mitsubishi,Diamante
C_CND_000612,Pontiac,Grand Prix
C_CND_000613,Pontiac,Grand Prix
C_CND_000614,Mercedes-B,M-Class
C_CND_000615,Chevrolet,Prizm
C_CND_000616,Acura,TL
C_CND_000617,Mercury,Grand Marquis
C_CND_000618,Chrysler,Concorde
C_CND_000619,Dodge,Intrepid
C_CND_000620,Nissan,Maxima
C_CND_000621,Ford,Taurus
C_CND_000622,Ford,Focus
C_CND_000623,Honda,CR-V
C_CND_000624,Chevrolet,Prizm
C_CND_000625,Volkswagen,Passat
C_CND_000626,Saturn,LS
C_CND_000627,Mitsubishi,3000GT
C_CND_000628,Lexus,LS400
C_CND_000629,Acura,RL
C_CND_000630,Lincoln,Town car
C_CND_000631,Buick,Park Avenue
C_CND_000632,Dodge,Avenger
C_CND_000633,Chevrolet,Corvette
C_CND_000634,Dodge,Viper
C_CND_000635,Audi,A4
C_CND_000636,Toyota,Sienna
C_CND_000637,Lincoln,Navigator
C_CND_000638,Nissan,Pathfinder
C_CND_000639,Mercury,Villager
C_CND_000640,Chrysler,Concorde
C_CND_000641,Chrysler,Sebring Conv.
C_CND_000642,Hyundai,Sonata
C_CND_000643,Honda,Accord
C_CND_000644,Toyota,Celica
C_CND_000645,Mitsubishi,Montero Sport
C_CND_000646,Mitsubishi,3000GT
C_CND_000647,Acura,RL
C_CND_000648,Toyota,Tacoma
C_CND_000649,Subaru,Forester
C_CND_000650,Plymouth,Voyager
C_CND_000651,Ford,Explorer
C_CND_000652,Chevrolet,Metro
C_CND_000653,Mercury,Grand Marquis
C_CND_000654,Mitsubishi,Diamante
C_CND_000655,Lexus,GS300
C_CND_000656,BMW,323i
C_CND_000657,Porsche,Carrera Coupe
C_CND_000658,Chevrolet,Malibu
C_CND_000659,Dodge,Intrepid
C_CND_000660,Hyundai,Elantra
C_CND_000661,Mitsubishi,Diamante
C_CND_000662,Lexus,GS400
C_CND_000663,Porsche,Carrera Cabrio
C_CND_000664,Chrysler,Concorde
C_CND_000665,Chrysler,LHS
C_CND_000666,Volvo,C70
C_CND_000667,Toyota,Sienna
C_CND_000668,Chrysler,LHS
C_CND_000669,BMW,528i
C_CND_000670,Cadillac,DeVille
C_CND_000671,Oldsmobile,Aurora
C_CND_000672,Chrysler,LHS
C_CND_000673,Ford,Focus
C_CND_000674,Subaru,Outback
C_CND_000675,BMW,528i
C_CND_000676,Plymouth,Neon
C_CND_000677,Acura,TL
C_CND_000678,Pontiac,Firebird
C_CND_000679,Audi,A6
C_CND_000680,Dodge,Ram Van
C_CND_000681,Mercury,Sable
C_CND_000682,Toyota,Land Cruiser
C_CND_000683,Nissan,Pathfinder
C_CND_000684,BMW,328i
C_CND_000685,Ford,Crown Victoria
C_CND_000686,Mitsubishi,3000GT
C_CND_000687,Lexus,LX470
C_CND_000688,BMW,528i
C_CND_000689,Ford,Explorer
C_CND_000690,Audi,A6
C_CND_000691,Chrysler,Sebring Coupe
C_CND_000692,Cadillac,Eldorado
C_CND_000693,Dodge,Ram Wagon
C_CND_000694,Saturn,SC
C_CND_000695,Volvo,C70
C_CND_000696,Oldsmobile,Silhouette
C_CND_000697,Mitsubishi,3000GT
C_CND_000698,Chrysler,300M
C_CND_000699,Toyota,RAV4
C_CND_000700,Mercedes-B,SLK
C_CND_000701,Nissan,Pathfinder
C_CND_000702,Chevrolet,Lumina
C_CND_000703,Chevrolet,Corvette
C_CND_000704,Volkswagen,Jetta
C_CND_000705,Dodge,Durango
C_CND_000706,Volvo,V40
C_CND_000707,Pontiac,Sunfire
C_CND_000708,Mitsubishi,Montero
C_CND_000709,Mercury,Sable
C_CND_000710,Mitsubishi,3000GT
C_CND_000711,Lexus,GS400
C_CND_000712,Acura,RL
C_CND_000713,Chevrolet,Prizm
C_CND_000714,Saab,3-Sep
C_CND_000715,Lexus,ES300
C_CND_000716,Chrysler,300M
C_CND_000717,Mercury,Grand Marquis
C_CND_000718,Chrysler,Town & Country
C_CND_000719,Porsche,Carrera Coupe
C_CND_000720,Oldsmobile,Silhouette
C_CND_000721,Dodge,Ram Pickup
C_CND_000722,Ford,Windstar
C_CND_000723,Mercury,Sable
C_CND_000724,Toyota,Land Cruiser
C_CND_000725,Buick,Park Avenue
C_CND_000726,Porsche,Carrera Coupe
C_CND_000727,Mercedes-B,S-Class
C_CND_000728,Lexus,ES300
C_CND_000729,Oldsmobile,Silhouette
C_CND_000730,Mercedes-B,S-Class
C_CND_000731,Chevrolet,Prizm
C_CND_000732,Porsche,Carrera Cabrio
C_CND_000733,Oldsmobile,Aurora
C_CND_000734,Mercury,Villager
C_CND_000735,Nissan,Frontier
C_CND_000736,Acura,RL
C_CND_000737,Mercedes-B,M-Class
C_CND_000738,BMW,528i
C_CND_000739,Cadillac,Escalade
C_CND_000740,Oldsmobile,Silhouette
C_CND_000741,Hyundai,Sonata
C_CND_000742,Chevrolet,Malibu
C_CND_000743,Mercury,Grand Marquis
C_CND_000744,Chevrolet,Cavalier
C_CND_000745,Nissan,Maxima
C_CND_000746,Chevrolet,Prizm
C_CND_000747,Volkswagen,Jetta
C_CND_000748,Honda,Accord
C_CND_000749,BMW,328i
C_CND_000750,Saturn,SL
C_CND_000751,Ford,Taurus
